set F := F0 F1 F2 F3 F4;
set H := H0 H1 H2 H3 H4 H5 H6 H7 H8 H9;
set C := C0 C1 C2 C3 C4;
set S := S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 S25 S26 S27 S28 S29 S30 S31 S32 S33 S34 S35 S36 S37 S38 S39 S40 S41 S42 S43 S44 S45 S46 S47 S48 S49;

param b := 
 C1 S32 39
 C1 S33 24
 C1 S34 0
 C1 S35 10
 C1 S36 46
 C1 S37 49
 C1 S38 0
 C1 S39 44
 C1 S40 52
 C1 S41 26
 C1 S42 27
 C1 S43 0
 C1 S44 13
 C1 S45 0
 C1 S46 11
 C1 S47 0
 C1 S48 30
 C1 S49 45
 C2 S0 46
 C2 S1 24
 C2 S2 150
 C2 S3 32
 C2 S4 22
 C2 S5 45
 C2 S6 0
 C2 S7 23
 C2 S8 46
 C2 S9 0
 C2 S10 34
 C2 S11 270
 C2 S12 250
 C2 S13 37
 C2 S14 29
 C2 S15 25
 C2 S16 0
 C2 S17 0
 C2 S18 125
 C2 S19 30
 C2 S20 0
 C2 S21 47
 C2 S22 38
 C2 S23 9
 C2 S24 29
 C2 S25 37
 C2 S26 95
 C2 S27 43
 C2 S28 14
 C2 S29 15
 C2 S30 51
 C2 S31 50
 C2 S32 12
 C2 S33 105
 C2 S34 53
 C2 S35 150
 C2 S36 180
 C2 S37 22
 C2 S38 0
 C2 S39 31
 C2 S40 150
 C2 S41 185
 C2 S42 14
 C2 S43 47
 C2 S44 12
 C2 S45 31
 C2 S46 18
 C2 S47 42
 C2 S48 14
 C2 S49 95
 C3 S0 190
 C3 S1 32
 C3 S2 28
 C3 S3 33
 C3 S4 0
 C3 S5 43
 C3 S6 38
 C3 S7 0
 C3 S8 55
 C3 S9 30
 C3 S10 44
 C3 S11 19
 C3 S12 40
 C3 S13 50
 C3 S14 25
 C3 S15 120
 C3 S16 170
 C3 S17 135
 C3 S18 30
 C3 S19 17
 C3 S20 10
 C3 S21 85
 C3 S22 44
 C3 S23 32
 C3 S24 8
 C3 S25 41
 C3 S26 20
 C3 S27 32
 C3 S28 45
 C3 S29 14
 C3 S30 41
 C3 S31 180
 C3 S32 0
 C3 S33 225
 C3 S34 225
 C3 S35 22
 C3 S36 46
 C3 S37 230
 C3 S38 35
 C3 S39 195
 C3 S40 0
 C3 S41 225
 C3 S42 75
 C3 S43 21
 C3 S44 0
 C3 S45 12
 C3 S46 25
 C3 S47 0
 C3 S48 10
 C3 S49 155
 C4 S0 135
 C4 S1 19
 C4 S2 22
 C4 S3 0
 C4 S4 0
 C4 S5 32
 C4 S6 14
 C4 S7 0
 C4 S8 31
 C4 S9 33
 C4 S10 65
 C4 S11 17
 C4 S12 32
 C4 S13 30
 C4 S14 0
 C4 S15 18
 C4 S16 0
 C4 S17 30
 C4 S18 43
 C4 S19 55
 C4 S20 35
 C4 S21 0
 C4 S22 205
 C4 S23 38
 C4 S24 9
 C4 S25 0
 C4 S26 0
 C4 S27 0
 C4 S28 115
 C4 S29 46
 C4 S30 18
 C4 S31 140
 C4 S32 32
 C4 S33 30
 C4 S34 28
 C4 S35 29
 C4 S36 220
 C4 S37 90
 C4 S38 21
 C4 S39 17
 C4 S40 40
 C4 S41 33
 C4 S42 0
 C4 S43 24
 C4 S44 225
 C4 S45 27
 C4 S46 13
 C4 S47 0
 C4 S48 10
 C4 S49 35
;

param f := 
 C0 33.6490529011
 C1 33.460537394
 C2 33.5076511067
 C3 30.0979309598
 C4 31.7795709057
;

param c := 
 F0 H0 17.1756683579
 F0 H1 10.558751416
 F0 H2 14.3932977549
 F0 H3 12.6402958306
 F0 H4 18.1558960879
 F0 H5 17.1411578707
 F0 H6 19.6175531383
 F0 H7 16.4537744862
 F0 H8 16.274993243
 F0 H9 15.4131169484
 F1 H0 12.0782336127
 F1 H1 18.0943792897
 F1 H2 14.9421584079
 F1 H3 10.4126617721
 F1 H4 11.5264672468
 F1 H5 16.7901882854
 F1 H6 15.147633862
 F1 H7 19.6917767299
 F1 H8 15.6404442419
 F1 H9 12.7344261583
 F2 H0 11.3024960245
 F2 H1 19.8304072024
 F2 H2 18.1454407734
 F2 H3 13.2528743677
 F2 H4 11.3451134075
 F2 H5 17.1553723397
 F2 H6 19.5891846727
 F2 H7 17.2255676286
 F2 H8 12.5929230319
 F2 H9 15.8030623709
 F3 H0 16.770108882
 F3 H1 16.1726705207
 F3 H2 18.4746928985
 F3 H3 14.5891986426
 F3 H4 17.0709533897
 F3 H5 19.1259494752
 F3 H6 14.8889655731
 F3 H7 13.9373662068
 F3 H8 13.6190894366
 F3 H9 17.6368310578
 F4 H0 19.4140414837
 F4 H1 15.637939593
 F4 H2 19.9495750359
 F4 H3 13.2878100363
 F4 H4 16.7104056622
 F4 H5 13.0996090115
 F4 H6 11.4898670185
 F4 H7 16.2835694697
 F4 H8 12.0940305462
 F4 H9 15.0441948515
 H0 C0 5.26023843886
 H0 C1 6.13191088062
 H0 C2 9.67471637098
 H0 C3 3.83892248966
 H0 C4 9.21816332455
 H1 C0 6.46748290589
 H1 C1 8.18112833645
 H1 C2 9.0129122079
 H1 C3 7.21454292264
 H1 C4 2.11840057599
 H2 C0 6.69341553497
 H2 C1 4.16402868444
 H2 C2 9.53587937032
 H2 C3 5.81004539824
 H2 C4 6.07008362077
 H3 C0 3.10098174176
 H3 C1 4.44425737557
 H3 C2 5.042413929
 H3 C3 4.52692878475
 H3 C4 2.56079769527
 H4 C0 2.670490707
 H4 C1 5.732093963
 H4 C2 2.1378714205
 H4 C3 6.80280712249
 H4 C4 7.76303000773
 H5 C0 3.63516147489
 H5 C1 6.59441190589
 H5 C2 9.85337353868
 H5 C3 6.68055447881
 H5 C4 7.27670728507
 H6 C0 2.29373797072
 H6 C1 6.50107901902
 H6 C2 3.60057654208
 H6 C3 9.53751194551
 H6 C4 8.42710988281
 H7 C0 7.24288986652
 H7 C1 3.03314828414
 H7 C2 3.53277657432
 H7 C3 7.68790372033
 H7 C4 8.51781360249
 H8 C0 7.78045014883
 H8 C1 4.83350784666
 H8 C2 6.10579460943
 H8 C3 6.98813794743
 H8 C4 5.91410223052
 H9 C0 3.32100053175
 H9 C1 6.9934291236
 H9 C2 4.05270674061
 H9 C3 2.12431363737
 H9 C4 6.12076700104
;
